506.25,3,C11CD81303,2713592,"EPSON Impresora de Tanque de Tinta A3 L1300 220V (LATIN, S UGK)",EPSON
8.39,182,THN-M301R0320U2,3081453,TOSHIBA TARJETA MICRO SD 32GB CLASS 10 WITH ADAPTER ( 40MB/SREAD),TOSHIBA
611.20,1,L2730B,2557629,HP Scanjet Et Flow 7000 s2 Shtfd Scanner,
209.44,3,QL-1060N,1012994,BROTHER Bro QL-1060N Professional Label Printer,BROTHER
969.31,7,MJVM2CI/A,2901323,APPLE MBAir 11.6/1.6GHz/4GB/128GB,APPLE
233.81,17,B11B190011A2,2088526,"EPSON Escaner Epson GT 1500, Resolucion Hasta 1200DPI, ADF+Cama Plana, USB",EPSON
2451.04,4,W5330V_TW,2995187,XEROX WORKCENTRE 5330V_TW,XEROX
310.92,58,C11C524131,2088532,"EPSON Matriz de Punto Epson FX 890, Velocidad 680CPS, Original+ 6 Copias",EPSON
102.65,2,PT-E300VP,2492687,BROTHER touch labeler,BROTHER
1567.25,3,778454-B21,2738217,HPE HP DL180G9 E5-2609V3(1/2) 8GB(1/8) (0/8)-SAS-3.5-HP H240 2U 3/1/1YR,HPE
63.55,26,DIR-850L,2428993,D-LINK Wireless AC 1200 Dualband Cloud Router with mydlink Cloud Services,D-LINK
21.37,104,K72324ES,3094030,KENSINGTON Teclado combo inalambrico profit 2.4ghz antiderrame,KENSINGTON
1887.52,2,V11H619020,2868234,EPSON Proyector PowerLite 1985WU,EPSON
90.51,232,S82BK2CL,2940223,Karbonn LA DUAL SIM 2G/3G ANDROID 4.4 KITKAT 5IN IPS-LCD 1.3GHZ QC 8G,Karbonn
1815.64,4,V11H599021,2769958,EPSON Proyector Interactivo BrightLink 595Wi Touch 3300 Lumenes WXGA,EPSON
592.21,6,765466-B21,2965171,HPE HP 2TB 12G SAS 7.2K 2.5IN 512E SC HDD,HPE
243.45,8,655708-B21,1891331,HPE HP 500GB 6G SATA 7.2 2.5INCH SC MDL HDD,HPE
126.93,21,WD2003FZEX,2490293,WESTERN DIGITAL 2TB Black 64MB 3.5IN SATA 6GB/s 7200RPM,WESTERN DIGITAL
466.29,9,35S0504,2413321,LEXMARK MS610DE MONO LASER PRINTER,
257.22,4,35S0164,2782792,LEXMARK MS315DN MONO LASER PRINTER,
